seen_webtoon,recom_webtoon,cosine_sim
13,24,0.9668408959533312
13,53,0.9491482488507396
13,42,0.948984452317961
13,5,0.947216163494614
13,900,0.943688820243904
13,1127,0.9425426821966392
13,227,0.94223373263968
13,262,0.937455658103242
13,103,0.937077910310114
14,156,0.9836874122231852
14,447,0.9757674960525
14,62,0.9724328567911436
14,682,0.9717596145903836
14,108,0.9628067395618604
14,1116,0.9627188268895872
14,1055,0.9626230504592678
14,1369,0.96115748395856
14,387,0.959782030340292
15,208,0.9849303858379328
15,235,0.9807924100347852
15,486,0.9750608870081902
15,83,0.973985202362046
15,29,0.9714838620216986
15,475,0.9690743053368036
15,160,0.9653572091573164
15,698,0.9647739506610292
15,754,0.9630301506713196
16,913,0.993658419048412
16,1475,0.9906119006325244
16,1058,0.9846024558336536
16,696,0.98258061991736
16,974,0.972056168859107
16,38,0.9718073465751508
16,412,0.9714485261577048
16,393,0.9711537029865268
16,1119,0.9710388848568634
17,66,0.9079868105274852
17,44,0.9052960882165556
17,43,0.9047676769828014
17,461,0.9044170219647356
17,138,0.901913633889291
17,444,0.8926899535897332
17,140,0.8889169049648009
17,124,0.8880096739004084
17,126,0.8868475422889859
18,568,0.979533215835521
18,709,0.9517654346953456
18,909,0.9486291727663242
18,1220,0.9395658501668258
18,111,0.9387548059233042
18,1418,0.9367791444350272
18,1329,0.934571221722926
18,1430,0.9345151628582866
18,299,0.9340215778182818
19,1036,0.9408974617758752
19,24,0.9404440156505576
19,1127,0.9357713861141296
19,851,0.9352770381011012
19,48,0.9338183053238458
19,712,0.9325529515900676
19,1227,0.9318568608681316
19,1168,0.931369900657731
19,828,0.9312805204583136
20,1328,0.9712364288204288
20,4,0.9634031540006918
20,1443,0.962591671100871
20,12,0.9625066502354616
20,693,0.957788834646616
20,1006,0.9576734846397243
20,290,0.9529290037531126
20,1152,0.9521178813508192
20,774,0.9516954738173324
21,627,0.9956199478404124
21,1025,0.9947543332595408
21,713,0.994417230193645
21,1465,0.9932990267332092
21,30,0.9928688541100956
21,687,0.9928624610864276
21,1097,0.9925745502330444
21,373,0.9915591961472516
21,471,0.9914879931959024
22,449,0.9693110770187352
22,542,0.9644641086038817
22,103,0.9631568909876732
22,7,0.962406793114809
22,271,0.9623978392850976
22,499,0.957137731004911
22,432,0.9566257864612692
22,486,0.9556208854284574
22,756,0.9548503605817704
23,28,0.9686718518889416
23,771,0.9633313163778716
23,113,0.9628658228341028
23,11,0.9626914477467358
23,908,0.962564143421954
23,102,0.960121316816942
23,560,0.9596394845773034
23,776,0.95762972731855
23,246,0.9569420371002644
24,13,0.9668408959533312
24,48,0.9443244373023278
24,53,0.9436013320163594
24,1127,0.9421258947792386
24,5,0.9417332627250062
24,19,0.9404440156505576
24,173,0.9383264786955428
24,542,0.9382995159128248
24,22,0.937529594324336
25,81,0.9988167079498254
25,193,0.9934275972643488
25,183,0.9859521271140392
25,203,0.9844710474432744
25,966,0.9767640081985804
25,655,0.9767190663604456
25,856,0.9767004296950252
25,1014,0.9759233549324196
25,58,0.97589516033454
26,892,0.9864222968368624
26,647,0.9849734783328454
26,760,0.98285278997599
26,358,0.9819180368253696
26,842,0.9796050299777712
26,573,0.978772585290934
26,1395,0.977048911971248
26,1378,0.9745989888035156
26,1340,0.973761429764257
27,185,0.9858530308466014
27,113,0.9814788133843724
27,38,0.9805140664564608
27,46,0.9790086063389488
27,1307,0.9759365264029376
27,5,0.9742844339147976
27,51,0.973036621538918
27,148,0.9721246141457468
27,41,0.9708404320787376
28,113,0.9785448042923196
28,148,0.9779082583894292
28,560,0.9756276553351518
28,776,0.9754202634989052
28,139,0.9692089312312678
28,23,0.9686718518889416
28,1186,0.9672885987959424
28,1147,0.9644843200836958
28,1169,0.9640304875002416
29,208,0.9832049740577916
29,302,0.9813356339844528
29,235,0.9804781494410388
29,271,0.979303400720168
29,486,0.978937911190594
29,15,0.9714838620216986
29,432,0.9703837108115988
29,499,0.9687585606373728
29,542,0.9657156718782676
30,1097,0.999836242655239
30,557,0.9991005810401722
30,471,0.9990607863924555
30,1465,0.998957484655733
30,373,0.9988201903072256
30,484,0.998650005800449
30,1272,0.9977072147720148
30,784,0.9974441518597538
30,251,0.997235033692843
31,905,0.9694753817714146
31,451,0.9568553108698415
31,1253,0.9559527489819502
31,6,0.9559042176607834
31,148,0.9523937698634432
31,1153,0.9501910870464502
31,104,0.9498688084145936
31,674,0.9497538102682598
31,27,0.9484187852949376
32,183,0.9827414220706332
32,21,0.9801116664069088
32,203,0.9800528380136128
32,92,0.9793609997960752
32,193,0.9786989485884642
32,627,0.9755053958314251
32,1025,0.9750209581633784
32,687,0.973617803815652
32,713,0.9709228742470306
33,1147,0.9653551675864382
33,1092,0.957344458108184
33,850,0.9561999121925226
33,971,0.9560334738980096
33,753,0.9559019438239392
33,498,0.9544812349626076
33,642,0.95432068254476
33,578,0.9527046123722086
33,149,0.9487529397531246
34,489,0.97342086824686
34,1159,0.9723084455227592
34,1391,0.9719509228011186
34,1027,0.9710961153974034
34,780,0.9699440535939952
34,1068,0.9693735854144222
34,779,0.9674546949747896
34,550,0.9658701145515748
34,1533,0.9641697328148104
35,131,0.9766172388309176
35,282,0.9498760534268595
35,457,0.947452794562992
35,585,0.9473764612282072
35,317,0.9465019949646344
35,318,0.9411368358510158
35,1091,0.9360125073144968
35,519,0.9333152935789722
35,409,0.9312069907609924
36,89,0.968670302363976
36,88,0.9663794477182092
36,94,0.9316824091134088
